DF0000001 avg_kimura=34.34 [mir]
DF0001133 avg_kimura=18.37 [msta1]
DF0001134 avg_kimura=18.74 [mstb2]
DF0001135 avg_kimura=38.72 [plat_l3]
DF0001136 avg_kimura=14.88 [ricksha_a]
DF0001137 avg_kimura=10.16 [tar1]
DF0001138 avg_kimura=10.17 [u17]
DF0001139 avg_kimura=25.05 [ucon23]
DF0001140 avg_kimura=27.92 [ucon7]
DF0001141 avg_kimura=35.87 [x2_line]
DF0001142 avg_kimura=38.90 [x7c_line]
DF0001143 avg_kimura=29.13 [x7d_line]
DF0001144 avg_kimura=40.27 [l2d2_3end]
DF0001145 avg_kimura=9.61 [aluyk3]
DF0001146 avg_kimura=33.68 [x9b_dna]
DF0001147 avg_kimura=39.60 [tigger19b]
DF0001148 avg_kimura=30.00 [x2a_dna]
DF0001149 avg_kimura=40.46 [mamrte1]
DF0001150 avg_kimura=24.74 [x1_lr]
DF0001151 avg_kimura=40.04 [ucon101]
DF0001152 avg_kimura=34.44 [hat-4b_ther]
DF0001153 avg_kimura=34.78 [eutrep16]
DF0001154 avg_kimura=11.05 [aluym1]
DF0001155 avg_kimura=35.99 [ucon41]
DF0001156 avg_kimura=29.64 [ucon88]
DF0001157 avg_kimura=26.43 [ucon83]
DF0001158 avg_kimura=30.34 [eutrep4]
DF0001159 avg_kimura=30.66 [ucon73]
DF0001160 avg_kimura=31.22 [ucon47]
DF0001161 avg_kimura=39.48 [x24_line]
DF0001162 avg_kimura=33.30 [x26_dna]
DF0001163 avg_kimura=30.70 [mare10]
DF0001164 avg_kimura=28.74 [eutr11]
DF0001165 avg_kimura=36.89 [x12_dna]
DF0001166 avg_kimura=26.20 [mare11]
DF0001167 avg_kimura=30.84 [x33a_dna]
DF0001168 avg_kimura=29.23 [euthat-n1]
DF0001169 avg_kimura=10.03 [aluyk2]
DF0001170 avg_kimura=20.38 [euttc1-n1]
DF0001171 avg_kimura=33.97 [mamgypltr4]
DF0001172 avg_kimura=26.92 [euthat-2]
DF0001173 avg_kimura=21.12 [ucon96]
DF0001174 avg_kimura=13.93 [aluye6]
DF0001175 avg_kimura=32.35 [ucon69]
DF0001176 avg_kimura=29.29 [charlie29b]
DF0001177 avg_kimura=39.63 [mamrte2]
DF0001178 avg_kimura=22.55 [ucon100]
DF0001179 avg_kimura=30.43 [ucon34]
DF0001180 avg_kimura=34.02 [ucon78]
DF0001181 avg_kimura=33.82 [ucon80_ami]
DF0001183 avg_kimura=36.07 [mamrep605b]
DF0001184 avg_kimura=37.34 [mare6]
DF0001185 avg_kimura=35.00 [ucon66]
DF0001186 avg_kimura=32.49 [ucon51]
DF0001187 avg_kimura=35.15 [ucon48]
DF0001188 avg_kimura=28.31 [ucon80]
DF0001189 avg_kimura=28.90 [ucon60]
DF0001190 avg_kimura=27.88 [ucon103]
DF0001191 avg_kimura=33.35 [tigger23a]
DF0001192 avg_kimura=27.86 [zaphod5b]
DF0001193 avg_kimura=33.79 [charlie30a]
DF0001194 avg_kimura=29.37 [euthat-n1a]
DF0001195 avg_kimura=21.06 [ucon92]
DF0001196 avg_kimura=30.51 [tigger21a]
DF0001197 avg_kimura=9.74 [aluyi6]
DF0001198 avg_kimura=33.16 [x13_line]
DF0001199 avg_kimura=32.98 [charlie30b]
DF0001200 avg_kimura=28.76 [ucon39]
DF0001201 avg_kimura=37.88 [mamgypsy2-ltr]
DF0001202 avg_kimura=33.32 [eutrep14]
DF0001203 avg_kimura=32.48 [x5a_dna]
DF0001204 avg_kimura=21.03 [eutrep6]
DF0001205 avg_kimura=28.36 [ucon65]
DF0001206 avg_kimura=27.58 [eutr2]
DF0001207 avg_kimura=24.36 [ucon81]
DF0001208 avg_kimura=32.38 [penelope1_vert]
DF0001209 avg_kimura=30.31 [chap1a_mam]
DF0001210 avg_kimura=26.46 [ucon93]
DF0001211 avg_kimura=27.88 [ucon37]
DF0001212 avg_kimura=29.94 [ucon94]
DF0001213 avg_kimura=31.31 [ucon89]
DF0001214 avg_kimura=35.25 [x9a_dna]
DF0001215 avg_kimura=41.10 [l2d_3end]
DF0001216 avg_kimura=29.49 [x21_line]
DF0001217 avg_kimura=32.18 [eutrep15]
DF0001218 avg_kimura=33.98 [x20_line]
DF0001219 avg_kimura=28.45 [x24_dna]
DF0001220 avg_kimura=28.77 [eutrep7]
DF0001221 avg_kimura=22.41 [mlt1c2]
DF0001222 avg_kimura=33.38 [x10b_dna]
DF0001223 avg_kimura=31.85 [eutrep2]
DF0001224 avg_kimura=33.33 [ucon40]
DF0001225 avg_kimura=29.27 [ucon33]
DF0001226 avg_kimura=15.84 [ucon68]
DF0001227 avg_kimura=28.88 [ucon64]
DF0001228 avg_kimura=35.12 [ltr89b]
DF0001229 avg_kimura=30.86 [x4a_dna]
DF0001231 avg_kimura=21.21 [euttc1-n2]
DF0001232 avg_kimura=22.50 [ucon63]
DF0001233 avg_kimura=36.02 [eutr10]
DF0001234 avg_kimura=35.85 [eutrep8]
DF0001235 avg_kimura=33.48 [x12_line]
DF0001236 avg_kimura=30.77 [mare4]
DF0001237 avg_kimura=35.40 [ucon105]
DF0001238 avg_kimura=32.81 [x32_dna]
DF0001239 avg_kimura=31.82 [x34_dna]
DF0001240 avg_kimura=11.49 [aluye5]
DF0001241 avg_kimura=32.07 [x6a_dna]
DF0001242 avg_kimura=31.25 [x11_dna]
DF0001243 avg_kimura=32.32 [eutr16]
DF0001244 avg_kimura=32.28 [charlie31a]
DF0001245 avg_kimura=31.51 [hat-n1a_mam]
DF0001246 avg_kimura=25.82 [ucon56]
DF0001247 avg_kimura=32.94 [ucon76]
DF0001248 avg_kimura=25.38 [x22_dna]
DF0001249 avg_kimura=32.63 [charlie32a]
DF0001250 avg_kimura=34.75 [l2-2_mam]
DF0001251 avg_kimura=34.23 [tigger22n1]
DF0001252 avg_kimura=37.67 [x17_line]
DF0001253 avg_kimura=37.27 [mir1_amn]
DF0001254 avg_kimura=28.79 [zaphod5a]
DF0001256 avg_kimura=12.16 [the1d-int]
DF0001258 avg_kimura=35.62 [eutr5]
DF0001259 avg_kimura=36.16 [ucon44]
DF0001260 avg_kimura=24.48 [ucon57]
DF0001261 avg_kimura=32.71 [ucon38]
DF0001262 avg_kimura=30.60 [eutr15]
DF0001263 avg_kimura=27.22 [ucon87]
DF0001264 avg_kimura=27.04 [eutr2b]
DF0001265 avg_kimura=33.27 [cr1-16_ami]
DF0001266 avg_kimura=35.75 [eutr18]
DF0001267 avg_kimura=23.58 [ucon61]
DF0001270 avg_kimura=28.47 [mer121b]
DF0001272 avg_kimura=26.42 [ucon70]
DF0001273 avg_kimura=24.84 [ucon75]
DF0001274 avg_kimura=31.75 [ucon58]
DF0001275 avg_kimura=35.39 [oldhat1]
DF0001276 avg_kimura=33.88 [arthur2]
DF0001277 avg_kimura=18.73 [mare9]
DF0001278 avg_kimura=4.93 [herv9nc]
DF0001279 avg_kimura=31.26 [ucon35]
DF0001280 avg_kimura=32.23 [x15_line]
DF0001281 avg_kimura=18.38 [tigger17d]
DF0001282 avg_kimura=34.07 [x30_dna]
DF0001283 avg_kimura=29.60 [ucon84]
DF0001285 avg_kimura=29.93 [x6b_dna]
DF0001286 avg_kimura=29.79 [mamtip1b]
DF0001288 avg_kimura=26.30 [ucon62]
DF0001289 avg_kimura=23.47 [ucon67]
DF0001290 avg_kimura=30.61 [zaphod4a]
DF0001291 avg_kimura=36.89 [cr1-13_ami]
DF0001292 avg_kimura=25.40 [x23_dna]
DF0001293 avg_kimura=34.44 [hat-1_mam]
DF0001294 avg_kimura=31.35 [ucon99]
DF0001295 avg_kimura=32.59 [mare8]
DF0001296 avg_kimura=36.65 [ltr91a]
DF0001297 avg_kimura=29.91 [mamtip3b]
DF0001298 avg_kimura=39.72 [mamtip2b]
DF0001299 avg_kimura=20.38 [tigger6]
DF0001300 avg_kimura=34.19 [cr1-12_ami]
DF0001301 avg_kimura=30.38 [ucon85]
DF0001303 avg_kimura=6.04 [herv9n]
DF0001304 avg_kimura=38.28 [mamgypsy2-i]
DF0001305 avg_kimura=28.33 [x1_dna]
DF0001307 avg_kimura=28.73 [x2b_dna]
DF0001308 avg_kimura=26.67 [ucon97]
DF0001309 avg_kimura=36.25 [x4b_dna]
DF0001310 avg_kimura=19.93 [hervip10b3]
DF0001311 avg_kimura=29.56 [ucon59]
DF0001312 avg_kimura=31.31 [ucon71]
DF0001313 avg_kimura=32.10 [charlie16]
DF0001314 avg_kimura=34.51 [ucon55]
DF0001316 avg_kimura=21.06 [aluyi6_4d]
DF0001317 avg_kimura=14.29 [aluyf1]
DF0001318 avg_kimura=10.75 [aluyh3]
DF0001320 avg_kimura=11.79 [aluyj4]
DF0001321 avg_kimura=14.94 [aluyh7]
DF0001323 avg_kimura=31.88 [chompy-6_croc]
DF0001325 avg_kimura=41.37 [cr1-3_croc]
DF0001326 avg_kimura=34.87 [cr1-l3a_croc]
DF0001327 avg_kimura=31.31 [cr1-l3b_croc]
DF0001328 avg_kimura=38.68 [cr1-11_crp]
DF0001331 avg_kimura=35.27 [l2-1_crp]
DF0001333 avg_kimura=32.00 [ucon86]
DF0001334 avg_kimura=38.72 [l2-1_ami]
DF0001335 avg_kimura=32.90 [hat-5_mam]
DF0001336 avg_kimura=33.51 [cr1-1_amn]
DF0001337 avg_kimura=4.01 [herv-fc1_ltr2]
DF0001423 avg_kimura=24.10 [lmesine1c]
DF0001428 avg_kimura=10.90 [lsu-rrna_cel]
DF0001474 avg_kimura=10.00 [ssu-rrna_cel]
DF0001731 avg_kimura=32.94 [amnharb1]
DF0001732 avg_kimura=35.60 [amnl2-1]
DF0002200 avg_kimura=28.17 [ucon87b]
DF0003796 avg_kimura=31.23 [ucon9b]
DF0004193 avg_kimura=26.70 [cr1_amni-1]
DF0006271 avg_kimura=31.20 [dirs-1a_amnio]
DF0006272 avg_kimura=34.20 [dirs-1b_amnio]
DF0006273 avg_kimura=34.00 [dirs-1c_amnio]
